source,url
annual_report_url,https://www.bseindia.com/xml-data/corpfiling/AttachHis/61bd3477-0728-46fa-9e62-319088c2f276.pdf
annual_report_23,https://www.bseindia.com/xml-data/corpfiling/AttachHis//d778c2f3-0d03-4617-acff-2e44312e8d00.pdf
annual_report_22,https://www.bseindia.com/bseplus/AnnualReport/543396/73953543396.pdf
credit_rating,https://www.crisilratings.com/content/dam/crisil/our-businesses/capital-markets/ipo-grading-list/view-rationale/CRISIL-Research_ipo-grading-rat_One97-communications.pdf
